,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration_minutes,pickup_hour,pickup_day,pickup_month
1,166,75,1.0,1.32,8.6,1.0,0.5,0.0,0.0,11.1,2.0,1.0,0.0,0.0,5.883333333333334,0,Wednesday,1
2,171,73,1.0,0.41,25.55,0.0,0.0,0.0,0.0,26.55,2.0,2.0,0.0,0.0,1.8666666666666667,0,Wednesday,1
3,74,223,1.0,4.12,21.2,1.0,0.5,6.13,6.94,36.77,1.0,1.0,0.0,0.0,15.466666666666667,0,Wednesday,1
7,166,244,1.0,2.09,13.5,1.0,0.5,0.0,0.0,16.0,2.0,1.0,0.0,0.0,11.15,0,Wednesday,1
8,166,151,1.0,0.95,7.9,1.0,0.5,2.08,0.0,12.48,1.0,1.0,0.0,0.0,6.533333333333333,0,Wednesday,1
9,74,74,1.0,0.06,23.0,1.0,0.0,0.0,0.0,25.0,2.0,1.0,0.0,0.0,0.3,22,Tuesday,12
10,75,236,1.0,0.66,5.8,1.0,0.5,2.76,0.0,13.81,1.0,1.0,2.75,0.0,3.3,23,Tuesday,12
12,42,159,1.0,0.0,18.5,0.0,1.5,0.0,0.0,20.0,1.0,1.0,0.0,0.0,13.966666666666667,0,Wednesday,1
14,75,262,1.0,1.93,12.1,1.0,0.5,1.1,0.0,18.45,1.0,1.0,2.75,0.0,10.683333333333334,0,Wednesday,1
16,74,262,1.0,2.91,17.7,1.0,0.5,4.59,0.0,27.54,1.0,1.0,2.75,0.0,16.683333333333334,0,Wednesday,1
17,236,263,1.0,1.62,11.4,1.0,0.5,3.33,0.0,19.98,1.0,1.0,2.75,0.0,9.216666666666667,0,Wednesday,1
18,197,197,1.0,0.0,13.0,0.0,0.0,1.0,0.0,15.0,1.0,2.0,0.0,0.0,0.05,0,Wednesday,1
19,42,168,1.0,1.66,10.7,1.0,0.5,0.0,0.0,13.2,2.0,1.0,0.0,0.0,8.2,0,Wednesday,1
20,74,41,1.0,0.93,7.2,1.0,0.5,0.0,0.0,9.7,2.0,1.0,0.0,0.0,6.566666666666666,0,Wednesday,1
21,243,116,1.0,3.22,17.0,1.0,0.5,0.0,0.0,19.5,2.0,1.0,0.0,0.0,11.733333333333333,0,Wednesday,1
22,243,18,1.0,3.77,21.9,1.0,0.5,0.0,0.0,24.4,2.0,1.0,0.0,0.0,18.916666666666668,0,Wednesday,1
23,95,135,1.0,1.98,13.5,1.0,0.5,4.0,0.0,20.0,1.0,1.0,0.0,0.0,12.433333333333334,0,Wednesday,1
25,260,83,1.0,1.08,9.3,1.0,0.5,1.0,0.0,12.8,1.0,1.0,0.0,0.0,8.133333333333333,0,Wednesday,1
27,41,236,1.0,2.07,10.7,1.0,0.5,0.0,0.0,15.95,1.0,1.0,2.75,0.0,7.6,0,Wednesday,1
31,95,130,1.0,3.9,18.4,1.0,0.5,0.0,0.0,20.9,2.0,1.0,0.0,0.0,11.683333333333334,0,Wednesday,1
32,82,173,1.0,0.9,8.6,1.0,0.5,0.0,0.0,11.1,2.0,1.0,0.0,0.0,7.416666666666667,0,Wednesday,1
33,166,142,1.0,4.13,21.2,1.0,0.5,4.76,0.0,31.21,1.0,1.0,2.75,0.0,15.366666666666667,0,Wednesday,1
34,95,95,1.0,0.12,6.5,1.0,0.5,1.8,0.0,10.8,1.0,1.0,0.0,0.0,5.7,0,Wednesday,1
36,82,56,1.0,1.07,6.0,0.5,0.5,0.0,0.0,7.3,2.0,1.0,0.0,0.0,5.766666666666667,0,Wednesday,1
39,52,33,1.0,0.64,5.8,1.0,0.5,1.66,0.0,9.96,1.0,1.0,0.0,0.0,3.466666666666667,0,Wednesday,1
40,82,82,1.0,0.0,5.8,1.0,0.5,0.0,0.0,8.3,2.0,1.0,0.0,0.0,4.233333333333333,0,Wednesday,1
49,166,237,1.0,3.53,22.6,1.0,0.5,5.57,0.0,33.42,1.0,1.0,2.75,0.0,21.85,0,Wednesday,1
50,41,74,1.0,1.77,12.8,1.0,0.5,3.06,0.0,18.36,1.0,1.0,0.0,0.0,10.3,0,Wednesday,1
51,42,74,1.0,0.62,6.5,1.0,0.5,0.0,0.0,9.0,1.0,1.0,0.0,0.0,4.283333333333333,0,Wednesday,1
53,135,135,1.0,0.0,19.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,0.0,0.03333333333333333,0,Wednesday,1
56,42,152,1.0,1.02,7.2,1.0,0.5,0.0,0.0,9.7,2.0,1.0,0.0,0.0,5.016666666666667,0,Wednesday,1
57,95,82,1.0,2.72,17.0,1.0,0.5,2.0,0.0,21.5,1.0,1.0,0.0,0.0,13.966666666666667,0,Wednesday,1
58,41,74,1.0,1.05,7.9,1.0,0.5,2.08,0.0,12.48,1.0,1.0,0.0,0.0,5.766666666666667,0,Wednesday,1
59,74,42,1.0,0.75,5.8,1.0,0.5,0.0,0.0,8.3,2.0,1.0,0.0,0.0,3.7,0,Wednesday,1
61,256,112,1.0,0.93,8.6,1.0,0.5,2.22,0.0,13.32,1.0,1.0,0.0,0.0,7.483333333333333,0,Wednesday,1
62,255,113,1.0,4.33,25.4,1.0,0.5,6.13,0.0,36.78,1.0,1.0,2.75,0.0,25.866666666666667,0,Wednesday,1
63,243,243,1.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.05,0,Wednesday,1
64,74,41,1.0,1.22,10.7,1.0,0.5,2.0,0.0,14.5,1.0,1.0,0.0,0.0,10.3,1,Wednesday,1
65,181,257,1.0,1.0,7.2,1.0,1.5,0.0,0.0,9.7,2.0,1.0,0.0,0.0,5.266666666666667,1,Wednesday,1
68,82,56,1.0,1.67,11.4,1.0,0.5,1.0,0.0,14.9,1.0,1.0,0.0,0.0,9.883333333333333,2,Wednesday,1
69,66,68,1.0,5.01,25.4,1.0,0.5,6.13,0.0,36.78,1.0,1.0,2.75,0.0,20.766666666666666,1,Wednesday,1
70,260,129,1.0,1.11,10.0,1.0,0.5,0.0,0.0,12.5,2.0,1.0,0.0,0.0,9.45,1,Wednesday,1
71,166,127,1.0,5.0,21.9,1.0,0.5,0.0,0.0,24.4,2.0,1.0,0.0,0.0,13.333333333333334,1,Wednesday,1
72,244,152,1.0,1.38,10.0,1.0,0.5,0.0,0.0,12.5,2.0,1.0,0.0,0.0,7.333333333333333,1,Wednesday,1
73,75,151,1.0,1.04,7.9,1.0,0.5,1.5,0.0,11.9,1.0,1.0,0.0,0.0,5.183333333333334,23,Tuesday,12
80,243,94,1.0,2.7,16.3,1.0,0.5,0.0,0.0,18.8,2.0,1.0,0.0,0.0,13.966666666666667,1,Wednesday,1
81,94,94,1.0,0.44,5.1,1.0,0.5,0.0,0.0,7.6,2.0,1.0,0.0,0.0,3.466666666666667,1,Wednesday,1
82,75,263,1.0,1.02,8.6,1.0,0.5,2.08,0.0,15.93,1.0,1.0,2.75,0.0,6.916666666666667,1,Wednesday,1
83,43,24,1.0,1.61,9.3,1.0,0.5,0.0,0.0,11.8,2.0,1.0,0.0,0.0,6.7,1,Wednesday,1
85,95,135,1.0,2.13,14.2,1.0,0.5,5.01,0.0,21.71,1.0,1.0,0.0,0.0,12.066666666666666,1,Wednesday,1
87,145,145,1.0,0.0,3.0,1.0,0.5,0.0,0.0,5.5,2.0,1.0,0.0,0.0,0.1,1,Wednesday,1
90,83,95,1.0,3.94,21.9,1.0,0.5,4.88,0.0,29.28,1.0,1.0,0.0,0.0,19.116666666666667,1,Wednesday,1
91,41,74,1.0,0.92,8.6,1.0,0.5,2.22,0.0,13.32,1.0,1.0,0.0,0.0,6.483333333333333,1,Wednesday,1
92,74,41,1.0,0.79,6.5,1.0,0.5,0.0,0.0,9.0,2.0,1.0,0.0,0.0,4.3,1,Wednesday,1
93,41,42,1.0,1.31,8.6,1.0,0.5,3.33,0.0,14.43,1.0,1.0,0.0,0.0,5.4,1,Wednesday,1
96,95,95,1.0,0.96,7.9,1.0,0.5,2.08,0.0,12.48,1.0,1.0,0.0,0.0,5.95,1,Wednesday,1
97,129,173,1.0,0.68,7.2,1.0,0.5,0.0,0.0,9.7,2.0,1.0,0.0,0.0,1415.2166666666667,1,Wednesday,1
99,166,116,1.0,1.45,10.0,1.0,0.5,0.0,0.0,12.5,2.0,1.0,0.0,0.0,7.766666666666667,0,Wednesday,1
100,41,166,1.0,1.26,9.3,1.0,0.5,2.36,0.0,14.16,1.0,1.0,0.0,0.0,8.116666666666667,1,Wednesday,1
102,92,92,1.0,0.72,15.0,0.0,0.0,1.0,0.0,17.0,1.0,2.0,0.0,0.0,4.016666666666667,1,Wednesday,1
103,41,162,1.0,4.79,26.1,1.0,0.5,0.0,0.0,31.35,2.0,1.0,2.75,0.0,23.383333333333333,1,Wednesday,1
104,97,148,1.0,1.33,11.4,1.0,0.5,5.0,0.0,21.65,1.0,1.0,2.75,0.0,12.25,1,Wednesday,1
105,256,79,1.0,1.61,14.2,1.0,0.5,3.89,0.0,23.34,1.0,1.0,2.75,0.0,15.433333333333334,1,Wednesday,1
107,25,181,1.0,1.13,8.6,1.0,0.5,2.78,0.0,13.88,1.0,1.0,0.0,0.0,5.833333333333333,1,Wednesday,1
108,40,228,1.0,1.86,10.7,1.0,0.5,2.64,0.0,15.84,1.0,1.0,0.0,0.0,8.4,1,Wednesday,1
113,157,198,1.0,0.2,10.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.9666666666666667,1,Wednesday,1
114,65,181,1.0,1.7,10.0,1.0,0.5,3.75,0.0,16.25,1.0,1.0,0.0,0.0,7.6,0,Wednesday,1
117,74,41,1.0,1.42,11.4,1.0,0.5,0.0,0.0,13.9,2.0,1.0,0.0,0.0,10.283333333333333,1,Wednesday,1
118,41,151,1.0,2.04,12.8,1.0,0.5,3.06,0.0,18.36,1.0,1.0,0.0,0.0,11.883333333333333,1,Wednesday,1
