Location ID,"Zone, Borough",Latitude,Longitude,Coordinate_Source
1,"Newark Airport, EWR",40.6925,-74.1687,Manual
2,"Jamaica Bay, Queens",40.6039936,-73.8354124,Original
3,"Allerton/Pelham Gardens, Bronx",40.8466508,-73.8785937,Alternative_Geocoding
4,"Alphabet City, Manhattan",40.7223431,-73.987353,Original
5,"Arden Heights, Staten Island",40.5636999,-74.1916032,Original
6,"Arrochar/Fort Wadsworth, Staten Island",40.6033124,-74.0668359,Alternative_Geocoding
7,"Astoria, Queens",40.7720145,-73.9302673,Original
8,"Astoria Park, Queens",40.7788277,-73.922658,Original
9,"Auburndale, Queens",40.7614516,-73.7897239,Original
10,"Baisley Park, Queens",40.6759206,-73.7849649,Original
11,"Bath Beach, Brooklyn",40.5964509,-73.9946593,Original
12,"Battery Park, Manhattan",40.702786,-74.0157731,Original
13,"Battery Park City, Manhattan",40.702786,-74.0157731,Original
14,"Bay Ridge, Brooklyn",40.6320062,-74.0232101,Original
15,"Bay Terrace/Fort Totten, Queens",40.7135078,-73.8283132,Alternative_Geocoding
16,"Bayside, Queens",40.7631203,-73.7707449,Original
17,"Bedford, Brooklyn",40.7187387,-73.9569017,Original
18,"Bedford Park, Bronx",40.8700999,-73.8856912,Original
19,"Bellerose, Queens",40.7327778,-73.7177778,Original
20,"Belmont, Bronx",40.8593835,-73.8891737,Original
21,"Bensonhurst East, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
22,"Bensonhurst West, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
23,"Bloomfield/Emerson Hill, Staten Island",40.5834557,-74.1496048,Alternative_Geocoding
24,"Bloomingdale, Manhattan",40.7997764,-73.9677716,Original
25,"Boerum Hill, Brooklyn",40.6856261,-73.9841707,Original
26,"Borough Park, Brooklyn",40.633993,-73.9968059,Original
27,"Breezy Point/Fort Tilden/Riis Beach, Queens",40.7135078,-73.8283132,Alternative_Geocoding
28,"Briarwood/Jamaica Hills, Queens",40.7135078,-73.8283132,Alternative_Geocoding
29,"Brighton Beach, Brooklyn",40.5796437,-73.9611102,Original
30,"Broad Channel, Queens",40.6080187,-73.8158007,Original
31,"Bronx Park, Bronx",40.8588468,-73.8759038,Original
32,"Bronxdale, Bronx",40.8483763,-73.8606886,Original
33,"Brooklyn Heights, Brooklyn",40.6960849,-73.9950297,Original
34,"Brooklyn Navy Yard, Brooklyn",40.6997716,-73.9753359,Original
35,"Brownsville, Brooklyn",40.665306,-73.9124755,Original
36,"Bushwick North, Brooklyn",40.7854163,-73.0254699,Alternative_Geocoding
37,"Bushwick South, Brooklyn",40.6942867,-73.9258836,Original
38,"Cambria Heights, Queens",40.6945474,-73.7384653,Original
39,"Canarsie, Brooklyn",40.643715,-73.9006921,Original
40,"Carroll Gardens, Brooklyn",40.6784201,-73.9948021,Original
41,"Central Harlem, Manhattan",40.7896239,-73.9598939,Alternative_Geocoding
42,"Central Harlem North, Manhattan",40.7896239,-73.9598939,Alternative_Geocoding
43,"Central Park, Manhattan",40.7827725,-73.9653627,Original
44,"Charleston/Tottenville, Staten Island",40.5834557,-74.1496048,Alternative_Geocoding
45,"Chinatown, Manhattan",40.7163793,-73.9962641,Original
46,"City Island, Bronx",40.8474333,-73.7864295,Original
47,"Claremont/Bathgate, Bronx",40.8466508,-73.8785937,Alternative_Geocoding
48,"Clinton East, Manhattan",40.7212687,-73.9836882,Original
49,"Clinton Hill, Brooklyn",40.6897222,-73.9652778,Original
50,"Clinton West, Manhattan",40.7639353,-73.9794602,Original
51,"Co-Op City, Bronx",40.8741547,-73.8291695,Original
52,"Cobble Hill, Brooklyn",40.687547,-73.9973352,Original
53,"College Point, Queens",40.7937011,-73.8530589,Original
54,"Columbia Street, Brooklyn",40.690595,-73.9999659,Original
55,"Coney Island, Brooklyn",40.5756208,-73.9813318,Original
56,"Corona, Queens",40.7469593,-73.8601456,Original
57,"Corona, Queens",40.7469593,-73.8601456,Original
58,"Country Club, Bronx",40.8391667,-73.8197222,Original
59,"Crotona Park, Bronx",40.8388132,-73.8923985,Original
60,"Crotona Park East, Bronx",40.8366165,-73.8927012,Original
61,"Crown Heights North, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
62,"Crown Heights South, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
63,"Cypress Hills, Brooklyn",40.6770477,-73.8912474,Original
64,"Douglaston, Queens",40.768358,-73.7492477,Original
65,"Downtown Brooklyn/MetroTech, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
66,"DUMBO/Vinegar Hill, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
67,"Dyker Heights, Brooklyn",40.6205319,-74.0119826,Original
68,"East Chelsea, Manhattan",40.7374626,-74.0014555,Original
69,"East Concourse/Concourse Village, Bronx",40.8241476,-73.9192423,Original
70,"East Elmhurst, Queens",40.7612123,-73.8651358,Original
71,"East Flatbush/Farragut, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
72,"East Flatbush/Remsen Village, Brooklyn",40.6526006,-73.9497211,Alternative_Geocoding
73,"East Flushing, Queens",40.7575366,-73.7843045,Original
74,"East Harlem North, Manhattan",40.7896239,-73.9598939,Alternative_Geocoding
75,"East Harlem South, Manhattan",40.7896239,-73.9598939,Alternative_Geocoding
76,"East New York, Brooklyn",40.6667702,-73.8823583,Original
77,"East New York/Pennsylvania Avenue, Brooklyn",40.6753999,-73.8963739,Original
78,"East Tremont, Bronx",40.8453781,-73.8909693,Original
79,"East Village, Manhattan",40.7292494,-73.9872412,Original
80,"East Williamsburg, Brooklyn",40.7210549,-73.9304689,Original
81,"Eastchester, Bronx",40.8884329,-73.8281895,Original
82,"Elmhurst, Queens",40.7365804,-73.8783932,Original
83,"Elmhurst/Maspeth, Queens",40.726976,-73.8930853,Alternative_Geocoding
84,"Eltingville/Annadale/Prince's Bay, Staten Island",40.5834557,-74.1496048,Alternative_Geocoding
85,"Erasmus, Brooklyn",40.6495482,-73.9559714,Original
86,"Far Rockaway, Queens",40.6053825,-73.7551326,Original
87,"Financial District North, Manhattan",40.7896239,-73.9598939,Alternative_Geocoding
88,"Financial District South, Manhattan",40.7428026,-73.9841476,Original
89,"Flatbush/Ditmas Park, Brooklyn",40.6402827,-73.9608693,Original
90,"Flatiron, Manhattan",40.7410592,-73.9896416,Original
91,"Flatlands, Brooklyn",40.6212155,-73.9348597,Original
92,"Flushing, Queens",40.7654301,-73.8174291,Original
93,"Flushing Meadows-Corona Park, Queens",40.7405485,-73.842789,Original
94,"Fordham South, Bronx",40.7462721,-73.5097518,Alternative_Geocoding
95,"Forest Hills, Queens",40.7231009,-73.8466125,Original
96,"Forest Park/Highland Park, Queens",40.7135078,-73.8283132,Alternative_Geocoding
