Location ID,"Zone, Borough",Latitude,Longitude
1,"Newark Airport, EWR",,
2,"Jamaica Bay, Queens",40.6039936,-73.8354124
3,"Allerton/Pelham Gardens, Bronx",,
4,"Alphabet City, Manhattan",40.7223431,-73.987353
5,"Arden Heights, Staten Island",40.5636999,-74.1916032
6,"Arrochar/Fort Wadsworth, Staten Island",,
7,"Astoria, Queens",40.7720145,-73.9302673
8,"Astoria Park, Queens",40.7788277,-73.922658
9,"Auburndale, Queens",40.7614516,-73.7897239
10,"Baisley Park, Queens",40.6759206,-73.7849649
11,"Bath Beach, Brooklyn",40.5964509,-73.9946593
12,"Battery Park, Manhattan",40.702786,-74.0157731
13,"Battery Park City, Manhattan",40.702786,-74.0157731
14,"Bay Ridge, Brooklyn",40.6320062,-74.0232101
15,"Bay Terrace/Fort Totten, Queens",,
16,"Bayside, Queens",40.7631203,-73.7707449
17,"Bedford, Brooklyn",40.7187387,-73.9569017
18,"Bedford Park, Bronx",40.8700999,-73.8856912
19,"Bellerose, Queens",40.7327778,-73.7177778
20,"Belmont, Bronx",40.8593835,-73.8891737
21,"Bensonhurst East, Brooklyn",,
22,"Bensonhurst West, Brooklyn",,
23,"Bloomfield/Emerson Hill, Staten Island",,
24,"Bloomingdale, Manhattan",40.7997764,-73.9677716
25,"Boerum Hill, Brooklyn",40.6856261,-73.9841707
26,"Borough Park, Brooklyn",40.633993,-73.9968059
27,"Breezy Point/Fort Tilden/Riis Beach, Queens",,
28,"Briarwood/Jamaica Hills, Queens",,
29,"Brighton Beach, Brooklyn",40.5796437,-73.9611102
30,"Broad Channel, Queens",40.6080187,-73.8158007
31,"Bronx Park, Bronx",40.8588468,-73.8759038
32,"Bronxdale, Bronx",40.8483763,-73.8606886
33,"Brooklyn Heights, Brooklyn",40.6960849,-73.9950297
34,"Brooklyn Navy Yard, Brooklyn",40.6997716,-73.9753359
35,"Brownsville, Brooklyn",40.665306,-73.9124755
36,"Bushwick North, Brooklyn",,
37,"Bushwick South, Brooklyn",40.6942867,-73.9258836
38,"Cambria Heights, Queens",40.6945474,-73.7384653
39,"Canarsie, Brooklyn",40.643715,-73.9006921
40,"Carroll Gardens, Brooklyn",40.6784201,-73.9948021
41,"Central Harlem, Manhattan",,
42,"Central Harlem North, Manhattan",,
43,"Central Park, Manhattan",40.7827725,-73.9653627
44,"Charleston/Tottenville, Staten Island",,
45,"Chinatown, Manhattan",40.7163793,-73.9962641
46,"City Island, Bronx",40.8474333,-73.7864295
47,"Claremont/Bathgate, Bronx",,
48,"Clinton East, Manhattan",40.7212687,-73.9836882
49,"Clinton Hill, Brooklyn",40.6897222,-73.9652778
50,"Clinton West, Manhattan",40.7639353,-73.9794602
51,"Co-Op City, Bronx",40.8741547,-73.8291695
52,"Cobble Hill, Brooklyn",40.687547,-73.9973352
53,"College Point, Queens",40.7937011,-73.8530589
54,"Columbia Street, Brooklyn",40.690595,-73.9999659
55,"Coney Island, Brooklyn",40.5756208,-73.9813318
56,"Corona, Queens",40.7469593,-73.8601456
57,"Corona, Queens",40.7469593,-73.8601456
58,"Country Club, Bronx",40.8391667,-73.8197222
59,"Crotona Park, Bronx",40.8388132,-73.8923985
60,"Crotona Park East, Bronx",40.8366165,-73.8927012
61,"Crown Heights North, Brooklyn",,
62,"Crown Heights South, Brooklyn",,
63,"Cypress Hills, Brooklyn",40.6770477,-73.8912474
64,"Douglaston, Queens",40.768358,-73.7492477
65,"Downtown Brooklyn/MetroTech, Brooklyn",,
66,"DUMBO/Vinegar Hill, Brooklyn",,
67,"Dyker Heights, Brooklyn",40.6205319,-74.0119826
68,"East Chelsea, Manhattan",40.7374626,-74.0014555
69,"East Concourse/Concourse Village, Bronx",40.8241476,-73.9192423
70,"East Elmhurst, Queens",40.7612123,-73.8651358
71,"East Flatbush/Farragut, Brooklyn",,
72,"East Flatbush/Remsen Village, Brooklyn",,
73,"East Flushing, Queens",40.7575366,-73.7843045
74,"East Harlem North, Manhattan",,
75,"East Harlem South, Manhattan",,
76,"East New York, Brooklyn",40.6667702,-73.8823583
77,"East New York/Pennsylvania Avenue, Brooklyn",40.6753999,-73.8963739
78,"East Tremont, Bronx",40.8453781,-73.8909693
79,"East Village, Manhattan",40.7292494,-73.9872412
80,"East Williamsburg, Brooklyn",40.7210549,-73.9304689
81,"Eastchester, Bronx",40.8884329,-73.8281895
82,"Elmhurst, Queens",40.7365804,-73.8783932
83,"Elmhurst/Maspeth, Queens",,
84,"Eltingville/Annadale/Prince's Bay, Staten Island",,
85,"Erasmus, Brooklyn",40.6495482,-73.9559714
86,"Far Rockaway, Queens",40.6053825,-73.7551326
87,"Financial District North, Manhattan",,
88,"Financial District South, Manhattan",40.7428026,-73.9841476
89,"Flatbush/Ditmas Park, Brooklyn",40.6402827,-73.9608693
90,"Flatiron, Manhattan",40.7410592,-73.9896416
91,"Flatlands, Brooklyn",40.6212155,-73.9348597
92,"Flushing, Queens",40.7654301,-73.8174291
93,"Flushing Meadows-Corona Park, Queens",40.7405485,-73.842789
94,"Fordham South, Bronx",,
95,"Forest Hills, Queens",40.7231009,-73.8466125
96,"Forest Park/Highland Park, Queens",,
97,"Fort Greene, Brooklyn",40.6907711,-73.9766245
98,"Fresh Meadows, Queens",40.7348246,-73.7934668
99,"Freshkills Park, Staten Island",40.5777439,-74.1799733
100,"Garment District, Manhattan",40.7536941,-73.9905167
101,"Glen Oaks, Queens",40.7470463,-73.7115199
102,"Glendale, Queens",40.7014917,-73.8868028
103,"Governor's Island/Ellis Island/Liberty Island, Manhattan",,
104,"Governor's Island/Ellis Island/Liberty Island, Manhattan",,
105,"Governor's Island/Ellis Island/Liberty Island, Manhattan",,
106,"Gowanus, Brooklyn",40.6791695,-73.9885041
107,"Gramercy, Manhattan",40.7355189,-73.9840794
108,"Gravesend, Brooklyn",40.5961338,-73.9739426
109,"Great Kills, Staten Island",40.5513353,-74.151201
110,"Great Kills Park, Staten Island",40.5436508,-74.1261469
111,"Green-Wood Cemetery, Brooklyn",40.652203,-73.9910769
112,"Greenpoint, Brooklyn",40.7237134,-73.9509714
113,"Greenwich Village North, Manhattan",40.7202174,-74.0103414
114,"Greenwich Village South, Manhattan",40.7335844,-74.0028172
115,"Grymes Hill/Clifton, Staten Island",40.6187152,-74.0934751
116,"Hamilton Heights, Manhattan",40.8241451,-73.9500618
117,"Hammels/Arverne, Queens",,
118,"Heartland Village/Todt Hill, Staten Island",,
119,"Highbridge, Bronx",40.8365324,-73.9295956
120,"Highbridge Park, Manhattan",40.8459505,-73.9299061
121,"Hillcrest/Pomonok, Queens",40.7237232,-73.8085956
122,"Hollis, Queens",40.7134361,-73.7670772
123,"Homecrest, Brooklyn",40.5861133,-73.9572994
124,"Howard Beach, Queens",40.6610254,-73.8295605
125,"Hudson Sq, Manhattan",40.7268035,-74.0079833
126,"Hunts Point, Bronx",40.8126008,-73.8840247
127,"Inwood, Manhattan",40.874856,-73.9287123
128,"Inwood Hill Park, Manhattan",40.8722736,-73.9254271
129,"Jackson Heights, Queens",40.7556561,-73.8857755
130,"Jamaica, Queens",40.7017931,-73.807868
131,"Jamaica Estates, Queens",40.7133455,-73.782511
132,"JFK Airport, Queens",40.6429479,-73.7793734
133,"Kensington, Brooklyn",40.6462149,-73.970694
134,"Kew Gardens, Queens",40.7139415,-73.830742
135,"Kew Gardens Hills, Queens",40.7274987,-73.8217204
136,"Kingsbridge Heights, Bronx",40.8725702,-73.9026619
137,"Kips Bay, Manhattan",40.7395463,-73.9770832
138,"LaGuardia Airport, Queens",40.7757145,-73.873364
139,"Laurelton, Queens",40.6667703,-73.7515212
